Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.255812,0.000010752,-0.255432,0.000117626,0.101097,-0.0270085,4.4469,0.357609
-0.255028,1.15263E-05,-0.254644,0.000120873,0.101097,-0.0270085,4.45345,0.356824
-0.255156,1.14002E-05,-0.254768,0.000121028,0.10119,-0.0269859,4.46152,0.357038
-0.255981,1.05868E-05,-0.255588,0.000118802,0.10119,-0.0269859,4.47019,0.357856
-0.255221,1.13385E-05,-0.254824,0.000121997,0.10119,-0.0269859,4.47666,0.357094
-0.254308,1.22394E-05,-0.253906,0.000125721,0.10119,-0.0269859,4.48453,0.356179
-0.254434,1.21153E-05,-0.254028,0.00012586,0.10119,-0.0269859,4.49292,0.3563
-0.255253,0.00001131,-0.254843,0.000123594,0.10119,-0.0269859,4.50135,0.357112
-0.254444,1.21085E-05,-0.254029,0.000126985,0.10119,-0.0269859,4.50825,0.356301
-0.253545,1.29921E-05,-0.253126,0.000130689,0.10119,-0.0269859,4.51597,0.355401
-0.254039,1.25079E-05,-0.253616,0.000129515,0.10119,-0.0269859,4.5224,0.355888
-0.254396,0.000012158,-0.253968,0.000128817,0.101337,-0.0269885,4.53263,0.356385
-0.25358,1.29592E-05,-0.253148,0.00013225,0.101337,-0.0269885,4.53964,0.355568
-0.254109,1.24412E-05,-0.253673,0.000130923,0.101337,-0.0269885,4.55047,0.35609
-0.254364,1.21906E-05,-0.253923,0.00013056,0.101337,-0.0269885,4.55788,0.35634
-0.253245,1.32909E-05,-0.252799,0.000135104,0.101337,-0.0269885,4.56751,0.35522
-0.252442,1.40764E-05,-0.251992,0.000138515,0.101337,-0.0269885,4.57422,0.354415
-0.252588,1.39337E-05,-0.252134,0.000138519,0.101337,-0.0269885,4.58235,0.354556
-0.252847,0.000013681,-0.252388,0.000138114,0.101337,-0.0269885,4.58962,0.354809
-0.251773,1.47306E-05,-0.25131,0.00014253,0.101505,-0.0269983,4.5987,0.353901
-0.25092,0.000015561,-0.250452,0.000146149,0.101505,-0.0269983,4.60594,0.353046
-0.251593,1.49077E-05,-0.251121,0.000144214,0.101505,-0.0269983,4.61431,0.353713
-0.25185,1.46585E-05,-0.251372,0.000143795,0.101505,-0.0269983,4.62156,0.353964
-0.252115,0.0000144,-0.251633,0.000143338,0.101505,-0.0269983,4.62919,0.354223
-0.252236,1.42824E-05,-0.251749,0.000143412,0.101505,-0.0269983,4.63683,0.354339
-0.252358,1.41632E-05,-0.251867,0.000143476,0.101505,-0.0269983,4.64488,0.354456
-0.253158,0.000013383,-0.252663,0.000141026,0.101505,-0.0269983,4.65285,0.355249
-0.252262,1.42595E-05,-0.251762,0.00014488,0.101722,-0.0270023,4.66058,0.354569
-0.252406,1.41192E-05,-0.251901,0.000144854,0.101722,-0.0270023,4.66931,0.354708
-0.252514,1.40141E-05,-0.252004,0.00014496,0.101722,-0.0270023,4.67611,0.35481
-0.25325,1.32958E-05,-0.252735,0.0001427,0.101722,-0.0270023,4.68392,0.355539
-0.252365,1.41617E-05,-0.251846,0.000146549,0.101722,-0.0270023,4.69151,0.354652
-0.252483,1.40468E-05,-0.251959,0.000146605,0.101722,-0.0270023,4.69937,0.354765
-0.252726,1.38095E-05,-0.252197,0.000146182,0.101722,-0.0270023,4.70684,0.355002
-0.253009,1.35335E-05,-0.252475,0.000145604,0.101722,-0.0270023,4.7156,0.355279
-0.252117,1.44061E-05,-0.251578,0.000149514,0.101722,-0.0270023,4.72316,0.354384
-0.252232,1.42936E-05,-0.251688,0.000149562,0.101974,-0.0269602,4.73107,0.354742
-0.25246,1.40719E-05,-0.251911,0.000149176,0.101974,-0.0269602,4.738,0.354963
