Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.247454,4.20022E-05,0.0058947,0.000287232,0.104546,-0.0269797,5.91734,0.10235
-0.247581,4.18803E-05,0.0057713,0.000285439,0.104546,-0.0269797,5.92448,0.102469
-0.24786,4.16133E-05,0.00549789,0.000282267,0.104719,-0.0269283,5.93253,0.102884
-0.248082,4.14012E-05,0.0052834,0.000279639,0.104719,-0.0269283,5.93889,0.103091
-0.247526,4.19346E-05,0.00584301,0.000284144,0.104719,-0.0269283,5.94574,0.102552
-0.24767,4.17967E-05,0.00570332,0.000282217,0.104719,-0.0269283,5.95512,0.102686
-0.24793,4.15478E-05,0.00544913,0.000279237,0.104719,-0.0269283,5.96249,0.102931
-0.24688,4.25537E-05,0.00649817,0.000288267,0.104719,-0.0269283,5.97131,0.101922
-0.245999,4.33952E-05,0.00737615,0.00029573,0.104719,-0.0269283,5.97913,0.101078
-0.246359,4.30522E-05,0.00701407,0.000291789,0.104719,-0.0269283,5.98799,0.101426
-0.246618,4.28056E-05,0.00675521,0.000288797,0.104928,-0.0269847,5.99532,0.101891
-0.245638,4.37398E-05,0.00772928,0.00029716,0.104928,-0.0269847,6.00374,0.100955
-0.245764,4.36205E-05,0.00759891,0.000295367,0.104928,-0.0269847,6.01247,0.10108
-0.246568,4.28564E-05,0.00679457,0.000287371,0.104928,-0.0269847,6.02075,0.101853
-0.247254,4.22027E-05,0.00611255,0.000280494,0.104928,-0.0269847,6.02785,0.102508
-0.246148,4.32602E-05,0.00721607,0.000290056,0.104928,-0.0269847,6.03744,0.101447
-0.24627,4.31437E-05,0.00709176,0.000288324,0.104928,-0.0269847,6.04482,0.101567
-0.246576,4.28521E-05,0.00678538,0.000284918,0.104928,-0.0269847,6.05392,0.101861
-0.245851,4.35434E-05,0.00750614,0.000290968,0.105061,-0.0270435,6.06059,0.101312
-0.246722,4.27161E-05,0.00663655,0.000282386,0.105061,-0.0270435,6.07107,0.102147
-0.247304,4.21601E-05,0.00605884,0.000276258,0.105061,-0.0270435,6.07815,0.102702
-0.247612,4.18658E-05,0.0057577,0.000272674,0.105061,-0.0270435,6.08663,0.102992
-0.246792,4.26514E-05,0.00658037,0.000279444,0.105061,-0.0270435,6.09361,0.102201
-0.246933,4.25166E-05,0.00644199,0.000277374,0.105061,-0.0270435,6.10344,0.102333
-0.248107,4.13953E-05,0.00527695,0.000265851,0.105061,-0.0270435,6.11535,0.103454
-0.247179,0.000042286,0.00620955,0.000273643,0.105061,-0.0270435,6.12296,0.102556
-0.247429,4.20471E-05,0.00596505,0.000270605,0.105196,-0.0269921,6.13066,0.102907
