Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.292018,2.64821E-05,0.00640095,6.20644E-05,0.104163,-0.0269691,6.14652,0.10143
-0.292635,2.57858E-05,0.00604828,5.56878E-05,0.104383,-0.0270115,6.15341,0.101992
-0.293707,0.000024573,0.00574363,0.000046665,0.104383,-0.0270115,6.16418,0.102284
-0.292668,2.57528E-05,0.00642648,5.48632E-05,0.104383,-0.0270115,6.17326,0.101628
-0.291803,2.67311E-05,0.00661956,6.08264E-05,0.104383,-0.0270115,6.18073,0.101443
-0.291927,2.65913E-05,0.00631811,5.81836E-05,0.104383,-0.0270115,6.18961,0.101733
-0.292192,0.000026292,0.00615034,5.48086E-05,0.104383,-0.0270115,6.19702,0.101894
-0.291351,2.72422E-05,0.00650643,6.04658E-05,0.104383,-0.0270115,6.20403,0.101552
-0.290327,2.83949E-05,0.00670993,0.000066027,0.104546,-0.0269797,6.21284,0.101506
-0.290445,2.82626E-05,0.00635482,6.17128E-05,0.104546,-0.0269797,6.21977,0.101847
-0.290769,2.78989E-05,0.00629737,5.91332E-05,0.104546,-0.0269797,6.22945,0.101902
-0.290882,2.77714E-05,0.00635514,5.84905E-05,0.104546,-0.0269797,6.23728,0.101846
-0.29101,0.000027628,0.00637175,5.77256E-05,0.104546,-0.0269797,6.2458,0.101829
-0.291234,2.73756E-05,0.0063411,5.61233E-05,0.104546,-0.0269797,6.25254,0.101859
-0.290615,2.80722E-05,0.00664884,6.18989E-05,0.104546,-0.0269797,6.26254,0.101563
-0.290061,2.86943E-05,0.00674064,6.68345E-05,0.104546,-0.0269797,6.27189,0.101476
-0.290207,2.85307E-05,0.00651075,6.53705E-05,0.104719,-0.0269283,6.27982,0.10185
-0.290464,2.82424E-05,0.00638152,6.31004E-05,0.104719,-0.0269283,6.28747,0.101974
-0.289586,2.92284E-05,0.0067619,7.07459E-05,0.104719,-0.0269283,6.2978,0.10161
-0.289706,2.90941E-05,0.00652862,6.92261E-05,0.104719,-0.0269283,6.30596,0.101834
-0.289977,2.87904E-05,0.00638293,6.66065E-05,0.104719,-0.0269283,6.31329,0.101974
-0.29024,2.84957E-05,0.00633072,6.42823E-05,0.104719,-0.0269283,6.32046,0.102024
-0.289164,2.97025E-05,0.00700106,7.37277E-05,0.104719,-0.0269283,6.3297,0.10138
-0.289443,2.93908E-05,0.00674198,7.08981E-05,0.104719,-0.0269283,6.33673,0.101629
-0.289758,2.90387E-05,0.00663032,6.80515E-05,0.104719,-0.0269283,6.34569,0.101736
-0.288968,2.99237E-05,0.00700693,7.47444E-05,0.104928,-0.0269847,6.35243,0.101591
-0.287891,3.11264E-05,0.00725752,8.32141E-05,0.104928,-0.0269847,6.36166,0.101352
